year,sideA,sideB,weight,agression
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
